,Concentration,Readings,1-Octanol,1-Propanol,2-Butanol,2-propanol,1-isobutanol,Alcohol
208,0.6,-231.3,0,0,0,0,1,1-isobutanol
209,0.6,-239.19,0,0,0,0,1,1-isobutanol
210,0.2,-56.14,0,0,0,0,1,1-isobutanol
211,0.2,-57.35,0,0,0,0,1,1-isobutanol
212,0.3,-90.74,0,0,0,0,1,1-isobutanol
213,0.3,-92.6,0,0,0,0,1,1-isobutanol
214,0.4,-132.16,0,0,0,0,1,1-isobutanol
215,0.4,-135.36,0,0,0,0,1,1-isobutanol
216,0.5,-178.79,0,0,0,0,1,1-isobutanol
217,0.5,-183.93,0,0,0,0,1,1-isobutanol
218,0.6,-239.06,0,0,0,0,1,1-isobutanol
219,0.6,-246.53,0,0,0,0,1,1-isobutanol
220,0.2,-57.71,0,0,0,0,1,1-isobutanol
221,0.2,-58.37,0,0,0,0,1,1-isobutanol
222,0.3,-92.83,0,0,0,0,1,1-isobutanol
223,0.3,-93.91,0,0,0,0,1,1-isobutanol
224,0.4,-134.83,0,0,0,0,1,1-isobutanol
225,0.4,-137.56,0,0,0,0,1,1-isobutanol
226,0.5,-182.33,0,0,0,0,1,1-isobutanol
227,0.5,-187.16,0,0,0,0,1,1-isobutanol
228,0.6,-243.12,0,0,0,0,1,1-isobutanol
229,0.6,-250.3,0,0,0,0,1,1-isobutanol
230,0.2,-58.36,0,0,0,0,1,1-isobutanol
231,0.2,-58.92,0,0,0,0,1,1-isobutanol
232,0.3,-94.31,0,0,0,0,1,1-isobutanol
233,0.3,-95.13,0,0,0,0,1,1-isobutanol
234,0.4,-136.44,0,0,0,0,1,1-isobutanol
235,0.4,-138.96,0,0,0,0,1,1-isobutanol
236,0.5,-184.7,0,0,0,0,1,1-isobutanol
237,0.5,-189.32,0,0,0,0,1,1-isobutanol
238,0.6,-246.15,0,0,0,0,1,1-isobutanol
239,0.6,-252.8,0,0,0,0,1,1-isobutanol
240,0.2,-59.0,0,0,0,0,1,1-isobutanol
241,0.2,-59.26,0,0,0,0,1,1-isobutanol
242,0.3,-94.97,0,0,0,0,1,1-isobutanol
243,0.3,-95.51,0,0,0,0,1,1-isobutanol
244,0.4,-137.28,0,0,0,0,1,1-isobutanol
245,0.4,-139.36,0,0,0,0,1,1-isobutanol
246,0.5,-186.98,0,0,0,0,1,1-isobutanol
247,0.5,-191.19,0,0,0,0,1,1-isobutanol
248,0.6,-248.98,0,0,0,0,1,1-isobutanol
249,0.6,-255.23,0,0,0,0,1,1-isobutanol
